Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Eastern Region,North East,X8l6y8IN4z9,Ngora District,Mukura Subcounty,Ajeluk Health Centre III,AIC Soroti  Region,87041,CDC,sU0Bb1t9Lu7,X8l6y8IN4z9,Ngora District,Mukura Subcounty,Ajeluk Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,84,0,0,0,0,0,1,4,4,7,6,3,4,3,7,13,2,0,0,0,0,1,0,1,1,5,4,4,3,7,0,1,3,0,0,0,0,0,,,0,1,4,2,,,0,0,44,27,,,0,0,1,5
Northern Region,West Nile,apgOmUgDNge,Arua District,Ajia Subcounty,Ajia Health Centre III,IDI West Nile,84981,CDC,kjODAhTVQKg,apgOmUgDNge,Arua District,Ajia Subcounty,Ajia Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,119,0,0,0,0,0,2,3,12,13,17,14,5,2,2,4,5,0,0,0,0,0,3,2,2,4,8,7,5,3,2,1,3,0,0,0,0,0,,,0,0,12,14,,,0,0,58,20,,,0,0,9,6
Northern Region,West Nile,oexw63IOiAD,Maracha District,Paranga Subcounty,Ajikoro Health Centre III,IDI West Nile,84981,CDC,f5QJset0Ars,oexw63IOiAD,Maracha District,Paranga Subcounty,Ajikoro Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,22,0,0,0,0,0,0,3,3,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,0,,,0,0,1,1,,,0,0,11,4,,,0,0,3,2
Northern Region,Mid Northern,h9Jydxolx2q,Kole District,Akalo Subcounty,Akalo Health Centre III,JCRC Kigezi Lango,81997,USAID,MSF9LhynxWU,h9Jydxolx2q,Kole District,Akalo Subcounty,Akalo Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1159,0,0,2,9,20,26,49,103,106,112,110,70,48,36,24,28,0,0,4,5,10,8,8,29,43,70,74,53,52,17,22,21,0,0,0,0,0,,,3,6,19,14,,,23,12,190,67,,,5,1,503,316
Eastern Region,North East,fFMFDu21aWq,Katakwi District,Ongongoja Subcounty,Aketa Health Centre III,AIC Soroti  Region,87041,CDC,SZOvLljxrhF,fFMFDu21aWq,Katakwi District,Ongongoja Subcounty,Aketa Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,576,0,0,3,1,12,6,16,20,37,57,45,41,27,25,14,39,0,0,1,3,14,5,5,8,15,31,28,42,30,18,12,21,0,0,0,0,0,,,1,1,3,0,,,14,15,154,92,,,2,4,169,121
Northern Region,Mid Northern,XLZVJib9KN7,Lira City,Lira East Division,Akia St. Francis Health Centre II,UPMB LSD,81995,USAID,Sg2ufWj0n4M,XLZVJib9KN7,Lira City,Lira East Division,Akia St. Francis Health Centre II,UPMB_LSD,81995,USAID,DSD,FY2025Q1,49,0,0,0,0,0,2,8,8,8,1,2,0,1,0,0,0,0,0,1,0,0,0,1,6,6,1,2,2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,26,18,,,0,0,4,0
Eastern Region,North East,usd4FQttAvy,Katakwi District,Katakwi Subcounty,Akoboi Health Centre II,AIC Soroti  Region,87041,CDC,Ah3VdkuUl9Z,usd4FQttAvy,Katakwi District,Katakwi Subcounty,Akoboi Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,32,0,0,0,0,0,0,8,7,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,32,0,,,0,0,0,0
Northern Region,Mid Northern,rjOHz4O83zh,Apac District,Akokoro Town Council,Akokoro Health Centre III,JCRC Kigezi Lango,81997,USAID,mOUafJWBWfR,rjOHz4O83zh,Apac District,Akokoro Town Council,Akokoro Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1444,0,0,3,4,17,31,52,88,112,144,124,114,74,57,31,45,0,0,1,8,6,15,14,27,49,94,109,87,61,36,25,16,0,0,0,0,0,,,0,0,61,7,,,16,10,166,112,,,8,5,645,414
Northern Region,Mid Northern,aWMoXZucGiV,Kitgum District,Lagoro Subcounty,Akuna Laber Health Centre III,TASO Ankole Acholi,81998,USAID,pzLjTabBk7Y,aWMoXZucGiV,Kitgum District,Lagoro Subcounty,Akuna Laber Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,383,0,0,2,1,2,4,7,34,37,46,47,15,19,8,9,7,0,0,0,0,6,5,3,5,13,28,32,22,11,8,7,5,0,0,0,0,0,,,2,1,17,9,,,2,3,52,17,,,1,2,160,111
Northern Region,West Nile,gBiYU9OJgsv,Nebbi District,Akworo Subcounty,Akworo Health Centre III,IDI West Nile,84981,CDC,XFUOfIxEWiE,gBiYU9OJgsv,Nebbi District,Akworo Subcounty,Akworo Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,289,0,0,1,1,4,4,16,34,41,23,22,15,12,8,9,6,0,0,0,2,3,2,5,4,8,19,11,16,8,8,5,2,0,0,0,0,0,,,0,0,2,0,,,6,5,122,56,,,0,0,66,32
Northern Region,Mid Northern,pkhPSHZSnr3,Lamwo District,Palabek Ogili Subcounty,Akworo Health Centre III,TASO Ankole Acholi,81998,USAID,Dcx1XF4pMbF,pkhPSHZSnr3,Lamwo District,Palabek Ogili Subcounty,Akworo Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,44,0,0,0,0,0,0,3,9,12,5,2,0,2,0,1,0,0,0,0,1,1,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,,,0,1,1,2,,,0,1,33,6,,,0,0,0,0
Northern Region,North East,etUWDKFTBfq,Amudat District,Amudat Subcounty,Alakas Health Centre II,ANECCA Karamoja Region,85006,USAID,TJV3cNCYdOT,etUWDKFTBfq,Amudat District,Amudat Subcounty,Alakas Health Centre II,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,11,0,0,0,0,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,7,2,,,0,0,2,0
Northern Region,West Nile,apEUhKfLxjY,Zombo District,Alangi Subcounty,Alangi Health Centre III,IDI West Nile,84981,CDC,ThKI8WzBKsI,apEUhKfLxjY,Zombo District,Alangi Subcounty,Alangi Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,415,0,1,4,6,5,5,31,41,34,32,23,19,17,11,8,3,0,0,1,3,5,4,4,20,25,28,36,15,11,10,8,5,0,0,0,0,0,,,3,0,22,4,,,5,6,61,40,,,8,3,141,122
Northern Region,Mid Northern,pk373UmcJEF,Alebtong District,Abako Subcounty,Alanyi Health Centre III,UPMB LSD,81995,USAID,LAykzktmhZd,pk373UmcJEF,Alebtong District,Abako Subcounty,Alanyi Health Centre IV,UPMB_LSD,81995,USAID,DSD,FY2025Q1,353,0,0,0,2,4,5,6,26,25,40,32,32,15,10,8,8,0,0,0,2,5,2,2,8,18,23,24,21,15,11,4,5,0,0,0,0,0,,,1,0,10,4,,,2,5,27,8,,,3,2,170,121
Northern Region,Mid Northern,RdmsO9Kftg9,Alebtong District,Alebtong Town Council,Alebtong Health Centre IV,JCRC Kigezi Lango,81997,USAID,OhR3CIdEy6T,RdmsO9Kftg9,Alebtong District,Alebtong Town Council,Alebtong Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2660,0,0,6,13,41,50,103,157,196,247,246,189,150,115,66,63,0,0,7,15,44,30,22,59,101,144,162,129,113,93,42,57,0,0,0,0,0,,,26,22,120,28,,,25,26,374,239,,,9,18,1088,685
Northern Region,Mid Northern,eR77udlIWIM,Apac District,Ibuje Town Council,Alenga Health Centre III,UPMB LSD,81995,USAID,v8dMe1CZe5X,eR77udlIWIM,Apac District,Ibuje Town Council,Alenga Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,328,0,1,1,2,4,4,9,33,30,34,29,24,15,4,3,6,0,1,4,4,4,2,1,3,10,23,18,21,20,7,8,3,0,0,0,0,0,,,1,6,19,3,,,7,5,67,28,,,0,2,105,85
Northern Region,North East,RLWAwgTDjSJ,Abim District,Alerek Town Council,Alerek Health Centre III,ANECCA Karamoja Region,85006,USAID,gqfxYbOMgpF,RLWAwgTDjSJ,Abim District,Alerek Town Council,Alerek Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,225,0,1,0,0,3,5,3,11,28,30,26,17,17,5,6,3,0,0,0,2,1,1,1,4,7,12,12,11,6,5,5,3,0,0,0,0,0,,,1,1,0,1,,,2,1,39,5,,,1,1,112,61
Northern Region,Mid Northern,EPyMwPkmKPx,Nwoya District,Alero Subcounty,Alero Health Centre III,TASO Ankole Acholi,81998,USAID,aRt63FAmriO,EPyMwPkmKPx,Nwoya District,Alero Subcounty,Alero Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,668,0,0,1,3,7,10,21,31,52,69,80,49,34,26,20,14,0,0,0,3,7,12,6,10,25,40,44,41,25,22,8,8,0,0,0,0,0,,,3,0,38,8,,,8,7,101,51,,,0,3,267,182
Northern Region,West Nile,AZRfSZ46cbp,Obongi District,Ewafa Subcounty,Aliba Health Centre III,IDI West Nile,84981,CDC,OFzNQQVy8pd,AZRfSZ46cbp,Obongi District,Ewafa Subcounty,Aliba Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,39,0,0,0,1,0,0,2,3,1,3,5,3,3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,6,6,1,0,1,0,0,0,0,0,,,0,0,0,0,,,1,0,14,12,,,0,0,7,5
Northern Region,Mid Northern,uw6cL0Wrx8k,Lira District,Amach Subcounty,Alik Health Centre III,JCRC Kigezi Lango,81997,USAID,U9sQpPuTrmb,uw6cL0Wrx8k,Lira District,Awiodyek Subcounty,Alik Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,117,0,0,4,0,0,2,13,24,15,9,9,5,2,1,1,2,0,1,3,1,0,1,1,4,6,4,3,2,2,1,0,1,0,0,0,0,0,,,0,0,5,3,,,4,5,74,22,,,0,0,4,0
Western Region,Mid Western,Gohyg1mIhi6,Masindi District,Pakanyi Subcounty,Alimugonza Health Centre II,Baylor Hoima Region,81977,CDC,FqSHRaEAkwr,Gohyg1mIhi6,Masindi District,Pakanyi Subcounty,Alimugonza Health Centre II,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,100,0,0,0,1,3,2,8,16,10,10,8,5,3,1,1,2,0,0,0,1,1,2,1,1,2,4,5,5,3,3,1,1,0,0,0,0,0,,,0,1,13,2,,,3,0,28,16,,,1,1,25,10
Northern Region,Mid Northern,avAlXE2E7Re,Kole District,Alito Subcounty,Alito Health Centre III,JCRC Kigezi Lango,81997,USAID,GiHWOovmxbz,avAlXE2E7Re,Kole District,Alito Subcounty,Alito Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1650,0,0,4,17,28,26,51,109,141,202,153,102,100,44,35,57,0,0,9,10,23,15,8,25,60,113,95,80,68,40,15,20,0,0,0,0,0,,,0,1,15,5,,,46,37,195,68,,,3,4,810,466
Central Region,Kampala,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Clinic,UPMB,84980,CDC,AW0nP2fFGdm,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Clinic,UPMB,84980,CDC,DSD,FY2025Q1,7438,0,0,2,23,67,89,154,366,643,839,859,721,564,350,197,141,0,0,8,30,45,83,56,121,177,336,338,408,360,241,132,88,0,0,1,0,0,,,9,12,290,143,,,50,41,901,405,,,30,30,3732,1792
Northern Region,Mid Northern,L4ABgSqNsXd,Otuke District,Adwari Town Council,Aliwang Health Centre III,UPMB LSD,81995,USAID,uQU7ijyN33L,L4ABgSqNsXd,Otuke District,Adwari Town Council,Aliwang Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,536,0,0,2,2,11,9,10,44,41,56,44,34,39,22,22,19,0,0,1,1,7,13,3,4,18,27,25,34,14,14,11,9,0,0,0,0,0,,,1,0,22,5,,,2,3,49,14,,,12,6,269,153
Eastern Region,Mid Eastern,fKvVQoaVcjz,Kibuku District,Goli-Goli Subcounty,All Saints Buchanagandi Health Centre III,UPMB LSD,81995,USAID,gxledVe0Z6F,fKvVQoaVcjz,Kibuku District,Goli-Goli Subcounty,All Saints Buchanagandi Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,89,0,0,0,0,2,0,4,10,6,6,9,9,9,,,,0,0,0,0,2,0,0,1,3,2,3,10,13,,,,0,0,0,0,0,,,0,0,4,2,,,2,1,18,8,,,0,1,36,15
Northern Region,Mid Northern,q2vSqN5xoZL,Alebtong District,Akura Subcounty,Aloi Mission Health Centre III,UPMB LSD,81995,USAID,M2tWjYrRKsq,q2vSqN5xoZL,Alebtong District,Akura Subcounty,Aloi Mission Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,671,0,0,1,8,7,3,36,47,86,66,51,36,79,,,,0,0,1,6,5,3,3,14,32,44,44,35,64,,,,0,0,0,0,0,,,3,4,26,21,,,10,6,179,87,,,1,1,189,124
Western Region,Mid Western,jEWfNHf8Ayt,Kibaale District,Kasimbi Subcounty,Alustin Health Centre III,Baylor Hoima Region,81977,CDC,uaZUryFkeAy,jEWfNHf8Ayt,Kibaale District,Kasimbi Subcounty,Alustin Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,44,0,0,1,0,0,2,10,6,9,4,2,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,,,0,1,7,2,,,1,0,20,0,,,0,0,6,7
Eastern Region,North East,VEc0XL8e8Sa,Kaberamaido District,Alwa Subcounty,Alwa Health Centre III,AIC Soroti  Region,87041,CDC,vRhPd6LwMx5,VEc0XL8e8Sa,Kaberamaido District,Alwa Subcounty,Alwa Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,353,0,0,2,1,6,10,14,24,22,25,33,23,27,13,14,8,0,0,0,3,7,5,1,6,16,20,22,16,12,12,5,6,0,0,0,0,0,,,3,5,17,5,,,4,2,61,24,,,2,3,135,92
Northern Region,West Nile,KLEPRYA9Nge,Pakwach District,Alwi Subcounty,Alwi Health Centre III,IDI West Nile,84981,CDC,VHLcZQnBa95,KLEPRYA9Nge,Pakwach District,Alwi Subcounty,Alwi Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,335,0,0,0,3,4,2,5,36,41,24,24,20,20,14,11,7,0,0,0,3,4,2,2,6,19,22,20,16,14,4,4,8,0,0,0,0,0,,,2,5,25,15,,,5,1,88,50,,,0,1,91,52
Northern Region,Mid Northern,apxYt6pdYil,Amolatar District,Agwingiri Subcounty,Alyecmeda Health Centre III,JCRC Kigezi Lango,81997,USAID,gfZ1zilVw2v,apxYt6pdYil,Amolatar District,Agwingiri Subcounty,Alyecmeda Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,38,0,0,0,0,0,4,8,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,5,1,1,0,3,1,0,0,0,0,0,0,0,,,0,0,3,3,,,0,0,20,11,,,0,0,0,1
Northern Region,Mid Northern,ah2PY0hhVkV,Lira District,Amach Subcounty,Amach Health Centre IV,JCRC Kigezi Lango,81997,USAID,cfy9cOni5AM,ah2PY0hhVkV,Lira District,Amach Town Council,Amach Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2089,0,0,6,18,20,39,64,96,175,241,226,156,152,84,47,55,0,0,4,13,25,27,20,32,55,97,119,113,79,53,41,32,0,0,0,0,0,,,1,5,16,14,,,43,36,457,198,,,0,1,862,456
Northern Region,Mid Northern,Zk9bvpSxThA,Amolatar District,Aputi Subcounty,Amai Community Hospital,UPMB LSD,81995,USAID,a9uqbGjbefB,Zk9bvpSxThA,Amolatar District,Aputi Subcounty,Amai Community Hospital,UPMB_LSD,81995,USAID,DSD,FY2025Q1,1598,0,1,2,10,20,22,32,41,88,145,147,146,118,68,70,53,0,0,2,8,22,24,13,18,25,69,91,92,94,73,61,43,0,0,0,0,0,,,2,0,15,13,,,5,6,107,22,,,26,26,808,568
Northern Region,North East,t8qKMFFAO22,Nakapiripirit District,Kaawach Subcounty,Amaler Health Centre III,UPMB LSD,81995,USAID,Hq6V7WKVu7r,t8qKMFFAO22,Nakapiripirit District,Kaawach Subcounty,Amaler Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,35,0,0,0,3,1,1,1,3,5,1,7,6,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,4,1,21,5,,,0,0,4,0
Northern Region,North East,,,,,,,,,Owvv3PbIrZ2,Abim District,Abim Subcounty,Amita Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar Health Centre IV,JCRC Kigezi Lango,81997,USAID,fDlQx7nXPLd,XazfKCvCCLS,Amolatar District,Amolatar Town Council,Amolatar Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,2549,0,0,4,20,33,51,149,197,204,230,223,146,115,91,45,59,0,0,10,15,28,32,42,78,115,167,111,130,117,54,45,38,0,0,0,0,0,,,1,3,64,7,,,26,19,349,156,,,30,31,1097,766
Northern Region,Mid Northern,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA Health Centre III,UPMB LSD,81995,USAID,uTzexpmD2rk,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,581,0,0,1,4,10,6,13,62,74,74,61,27,20,9,4,13,0,0,2,7,6,2,4,7,24,44,31,30,22,9,8,7,0,0,0,0,0,,,0,0,5,2,,,10,11,130,58,,,5,4,228,128
Eastern Region,North East,N8L6gKVGOCM,Amuria District,Apeduru Subcounty,Amucu Health Centre III,UEC,81974,CDC,Xu8NcSZYAgm,N8L6gKVGOCM,Amuria District,Apeduru Subcounty,Amucu Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,117,0,0,1,0,0,1,2,5,12,14,12,5,8,3,4,4,0,0,1,0,0,1,0,3,7,6,10,4,7,2,5,0,0,0,0,0,0,,,0,0,2,3,,,1,1,13,5,,,0,0,55,37
Northern Region,North East,gVSFfQXW1J2,Amudat District,Amudat Town Council,Amudat Hospital,UPMB LSD,81995,USAID,BsXF2T7JcJf,gVSFfQXW1J2,Amudat District,Amudat Town Council,Amudat Hospital,UPMB_LSD,81995,USAID,DSD,FY2025Q1,250,0,0,1,1,6,9,12,25,33,24,15,15,11,6,3,5,0,0,1,3,2,4,4,7,11,12,15,11,6,3,2,3,0,0,0,0,0,,,2,4,18,8,,,6,2,32,12,,,0,0,108,58
Northern Region,Mid Northern,acBVtDN7cmd,Alebtong District,Amugu Town Council,Amugu Health Centre III,JCRC Kigezi Lango,81997,USAID,FPgkY7bkHf0,acBVtDN7cmd,Alebtong District,Amugu Town Council,Amugu Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1060,0,0,3,8,9,16,40,67,103,110,85,86,63,47,24,26,0,0,0,9,16,13,9,14,38,62,60,48,49,29,11,15,0,0,0,0,0,,,2,0,2,1,,,9,15,97,36,,,9,10,568,311
Eastern Region,North East,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria General Hospital,AIC Soroti  Region,87041,CDC,CaGjhbitWT4,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria General Hospital,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,1076,0,0,2,1,20,15,25,54,73,98,91,90,192,,,,0,0,2,2,18,20,16,12,30,39,78,57,141,,,,0,0,0,0,0,,,3,3,60,42,,,13,14,204,112,,,3,1,369,228
Eastern Region,North East,,,,,,,,,cd8AJF2SV0o,Amuria District,Amuria Town Council,Amuria Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,aFgrVHVDqoZ,Amuru District,Amuru Subcounty,Amuru Lacor Health Centre III,UPMB LSD,81995,USAID,cS9eh05OU2U,aFgrVHVDqoZ,Amuru District,Amuru Subcounty,Amuru Lacor Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,818,0,0,1,5,9,14,25,33,61,97,72,71,67,36,23,29,0,0,1,2,3,10,9,12,33,47,45,47,31,9,15,11,0,0,0,0,0,,,1,0,14,6,,,2,2,189,97,,,12,4,325,166
Eastern Region,North East,kwd5xyrWwvO,Amuria District,Kuju Subcounty,Amusus Health Centre III,AIC Soroti  Region,87041,CDC,H0cMt78YoEm,kwd5xyrWwvO,Amuria District,Kuju Subcounty,Amusus Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,66,0,0,0,0,0,0,4,8,5,7,3,7,3,0,3,5,0,0,1,2,0,0,0,1,2,5,5,1,0,1,0,3,0,0,0,0,0,,,0,3,42,11,,,0,0,21,7,,,0,0,0,0
Northern Region,Mid Northern,PgRLMNQdejC,Nwoya District,Anaka Town Council,Anaka General Hospital,TASO Ankole Acholi,81998,USAID,uXdjHRhPfWe,PgRLMNQdejC,Nwoya District,Anaka Town Council,Anaka General Hospital,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,2449,0,0,8,11,33,42,75,144,239,289,235,185,132,97,68,81,0,0,3,10,28,29,12,38,85,127,140,101,107,57,25,48,0,0,0,0,0,,,1,3,107,3,,,47,34,726,368,,,4,4,754,398
Northern Region,Mid Northern,znkGCmU6MUG,Amolatar District,Awelo Subcounty,Anamwany Health Centre III,JCRC Kigezi Lango,81997,USAID,WlH1ZgoEw7N,znkGCmU6MUG,Amolatar District,Awelo Subcounty,Anamwany Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,30,0,0,0,0,0,1,8,4,2,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,0,2,0,0,0,0,0,0,,,0,0,11,4,,,0,0,9,6,,,0,0,0,0
Northern Region,Mid Northern,ygTUi4HvPHJ,Pader District,Angagura Subcounty,Angagura Health Centre III,TASO Ankole Acholi,81998,USAID,jiKHeYdR6OK,ygTUi4HvPHJ,Pader District,Angagura Subcounty,Angagura Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,433,0,0,1,5,3,8,20,32,43,50,43,25,22,7,13,13,0,1,1,2,5,3,6,10,12,29,29,15,14,8,4,9,0,0,0,0,0,,,2,0,3,1,,,9,7,105,43,,,0,0,170,93
Northern Region,West Nile,K7Do3WBvmLa,Nebbi District,Nyaravur Town Council,Angal Hospital,UEC,81974,CDC,qDyRBZN7FQT,K7Do3WBvmLa,Nebbi District,Nyaravur Town Council,Angal Hospital,UEC,81974,CDC,DSD,FY2025Q1,1023,0,0,1,6,10,17,25,51,86,108,91,75,69,42,34,31,0,0,1,7,12,17,8,9,31,36,63,57,46,39,30,21,0,0,0,0,0,,,3,1,27,12,,,13,19,409,216,,,1,0,193,129
Northern Region,Mid Northern,P2sdfoxH0a7,Gulu District,Unyama Subcounty,Angaya Health Centre III,TASO Ankole Acholi,81998,USAID,Jqd7KKkiojq,P2sdfoxH0a7,Gulu District,Unyama Subcounty,Angaya Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,256,0,0,1,1,3,3,16,31,26,18,19,14,10,9,8,11,0,0,1,2,2,4,1,8,17,12,9,12,9,3,2,4,0,0,0,0,0,,,0,1,32,5,,,3,3,5,1,,,2,1,128,75
Western Region,South Western,BoGS6ZmpQc2,Bushenyi District,Kyamuhunga Town Council,Ankole Tea Factory Health Centre II,UPMB LSD,81995,USAID,Ih6tVeWQrSD,BoGS6ZmpQc2,Bushenyi District,Kyamuhunga Town Council,Ankole Tea Factory Health Centre II,UPMB_LSD,81995,USAID,DSD,FY2025Q1,157,0,0,0,0,0,0,8,6,26,13,17,8,3,2,2,0,0,0,0,0,0,0,0,9,18,12,7,13,5,5,0,3,0,0,0,0,0,,,0,0,1,0,,,0,0,39,35,,,0,0,45,37
Northern Region,Mid Northern,WByrVzVSS8z,Lira City,Lira East Division,Anyangatir Health Centre III,JCRC Kigezi Lango,81997,USAID,zigONKZ4QTP,WByrVzVSS8z,Lira City,Lira East Division,Anyangatir Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,318,0,0,1,1,1,7,27,43,39,28,21,12,7,2,3,4,0,2,2,2,1,0,1,16,22,19,20,15,9,5,3,5,0,0,0,0,0,,,1,0,12,8,,,1,6,72,36,,,1,1,109,71
Eastern Region,North East,ZOAvFhJT2vI,Kalaki District,Anyara Subcounty,Anyara Health Centre III,AIC Soroti  Region,87041,CDC,RZKGzaGoSi3,ZOAvFhJT2vI,Kalaki District,Anyara Subcounty,Anyara Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,590,0,0,0,3,14,10,8,20,46,56,78,58,39,21,14,8,0,0,3,6,11,4,2,5,12,23,45,37,22,20,16,9,0,0,0,0,0,,,0,1,19,0,,,16,17,246,143,,,1,2,93,52
