Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
North Central,afzGq7RpOTl,Buvuma District,Busamuzi Subcounty,Busamuzi HC III,WALTER REED_MUWRP,,Ubo79rcz8Zg,afzGq7RpOTl,Buvuma District,Busamuzi Subcounty,Busamuzi HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,10,2,8,1,,1,2,,1,,1,,2,,,,1,,1,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,2,0,0,0,1,0,1,47,0,1,46,0,0,0,1,232,50,10,0,0,0,0,8,12,0,207,0,4,0,0,3,0
Busoga,AgA6LVX4MQQ,Namayingo District,Lolwe Subcounty,Singila HC II,MJAP_East Central Region,,UDZ8XRN4Yyd,AgA6LVX4MQQ,Namayingo District,Lolwe Subcounty,Singila HC II,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,3,2,1,,1,,,,,2,,,,,,,,,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
South Central,agQsp6hFdZa,Bukomansimbi District,Bukomansimbi Town Council,St. Mechtilda Kitaasa HC III,UEC,,V5fDNA4kXkI,agQsp6hFdZa,Bukomansimbi District,Bukomansimbi Town Council,St. Mechtilda Kitaasa HC III,UEC,81974,CDC,Oct-Dec 2024,,,50,34,16,4,4,10,4,7,1,5,3,3,2,2,,2,1,1,1,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,7,1,5,3,3,2,2,0,2,1,1,1,35,0,0,35,0,0,0,1,17,36,41,0,0,0,0,0,0,0,0,1,0,0,0,2,11
South Central,agw4uqikZnP,Kyotera District,Kasasa Subcounty,Kasasa HC III,IDI_Masaka Wakiso Region,,ehFzxhFqOuR,agw4uqikZnP,Kyotera District,Kasasa Subcounty,Kasasa HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,94,71,23,36,1,27,3,6,8,2,6,,3,,1,,1,,,94,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,27,3,6,8,2,6,0,3,0,1,0,1,0,0,22,0,0,22,0,0,0,0,0,95,94,0,0,0,2,44,1,0,0,0,6,0,0,1,20
Lango,ah2PY0hhVkV,Lira District,Amach Town Council,Amach HC IV,JCRC_Kigezi Lango Region,,cfy9cOni5AM,ah2PY0hhVkV,Lira District,Amach Town Council,Amach HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,65,45,20,2,2,28,3,6,6,3,3,3,4,2,2,,,1,,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,28,3,6,6,3,3,3,4,2,2,0,0,1,0,18,0,0,18,0,0,0,0,1,81,65,0,0,0,0,37,1,0,0,0,0,0,11,1,1
Bukedi,AhDvE2o9F3L,Busia District,Dabani Subcounty,Dabani Hospital,UPMB_LSD,,hQmvbYEfFz4,AhDvE2o9F3L,Busia District,Dabani Subcounty,Dabani Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,557,308,249,12,11,79,24,133,88,41,40,25,45,12,15,3,17,3,9,557,0,216,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,14,47,29,13,17,10,22,2,5,2,6,1,4,9,8,41,10,86,59,28,23,15,23,10,10,1,11,2,5,210,8,2,160,40,0,0,0,37,581,558,0,0,0,0,72,99,0,37,10,38,32,45,1,3
Ankole,ahn03jwJwRI,Ibanda District,Kagango Division,Ibanda Hospital,UPMB_LSD,,ZaW0px59Otw,ahn03jwJwRI,Ibanda District,Kagango Division,Ibanda Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,8,3,5,1,,1,,1,2,,3,,,,,,,,,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,14,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Busoga,aHrBkRnFBmb,Mayuge District,Bwondha Town Council,Bwondha HC II,MJAP_East Central Region,,vTPFkSgteQL,aHrBkRnFBmb,Mayuge District,Bwondha Town Council,Bwondha HC II,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,174,103,71,13,2,35,9,20,16,20,17,10,7,1,10,1,9,3,1,174,0,75,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,2,11,5,15,5,4,1,1,4,1,4,2,1,12,0,19,7,9,11,5,12,6,6,0,6,0,5,1,0,67,0,0,67,0,0,1,0,0,198,5,0,0,0,0,1,32,0,44,0,5,1,0,4,43
Ankole,aHuJWP6FfFo,Isingiro District,Rugaaga Town Council,Rugaaga HC IV,TASO_Ankole Acholi Region,,yXJt8YXIIJz,aHuJWP6FfFo,Isingiro District,Rugaaga Town Council,Rugaaga HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,279,208,71,117,3,84,7,3,14,3,19,,15,,7,,6,1,,279,0,137,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,40,4,0,8,3,10,0,8,0,3,0,1,0,0,59,1,44,3,3,6,0,9,0,7,0,4,0,5,1,0,205,0,0,205,0,0,0,0,21,259,279,0,0,0,0,4,30,0,0,0,28,9,0,4,0
Tooro,aHXEy4fCaPw,Bunyangabu District,Rwiimi Town Council,Rwimi HC III,Baylor Fort Portal_Mubende Region,,etzRrULyBOZ,aHXEy4fCaPw,Bunyangabu District,Rwiimi Town Council,Rwimi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,62,52,10,18,1,22,2,6,4,4,1,1,1,1,1,,,,,62,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,22,2,6,4,4,1,1,1,1,1,0,0,0,0,56,2,0,54,0,0,2,0,1,85,62,0,0,0,0,8,19,0,0,0,0,0,0,0,0
Lango,aHYpuUgnA4P,Lira City,Lira East Division,Boroboro HC III,UPMB_LSD,,PJ320u9ymE3,aHYpuUgnA4P,Lira City,Lira East Division,Boroboro HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,58,23,35,1,7,9,9,8,7,2,8,2,3,1,,,1,,,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9,8,7,2,8,2,3,1,0,0,1,0,0,23,2,0,21,0,0,0,0,1,57,57,0,0,0,32,0,18,0,1,3,4,7,0,2,0
North Central,ahYrfYMxirO,Mityana District,Busimbi Division,Naama HC III,Baylor Fort Portal_Mubende Region,,MYFcy0kUwKn,ahYrfYMxirO,Mityana District,Busimbi Division,Naama HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,131,58,73,6,12,19,14,15,10,7,15,6,7,4,8,1,1,,6,131,0,78,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,7,7,3,5,10,3,2,4,4,1,1,0,5,3,4,4,7,8,7,2,5,3,5,0,4,0,0,0,1,70,0,0,70,0,0,0,0,2,215,131,0,0,0,0,0,36,0,110,0,0,0,0,0,1
Teso,ahzk9fymop1,Kumi District,Ongino Subcounty,Kumi (Ongino) Hospital,UPMB,,N6HYd0EUoXw,ahzk9fymop1,Kumi District,Ongino Subcounty,Kumi (Ongino) Hospital,UPMB,84980,CDC,Oct-Dec 2024,,,26,13,13,,,2,2,5,3,4,1,1,2,,2,1,2,,1,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,4,1,1,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,37,18,0,0,0,0,0,0,0,36,0,0,0,0,1,0
Tooro,ai5Sfj3nu9K,Kasese District,Lakekatwe Subcounty,Katunguru HC II,Baylor Fort Portal_Mubende Region,,thP0yZEqAeC,ai5Sfj3nu9K,Kasese District,Lakekatwe Subcounty,Katunguru HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,213,113,100,10,6,36,14,27,38,19,22,13,9,4,2,3,7,1,2,213,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,36,14,27,38,19,22,13,9,4,2,3,7,1,2,33,0,0,33,0,0,0,0,0,216,213,0,0,0,1,0,1,0,168,9,0,0,0,0,5
North Central,AIl1p6YgqxA,Buvuma District,Buwooya Subcounty,Buwooya HC II,WALTER REED_MUWRP,,OMWRbhjqO1M,AIl1p6YgqxA,Buvuma District,Buwooya Subcounty,Buwooya HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,11,5,6,,,2,1,,,1,2,,2,,,2,,,1,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,2,0,0,2,0,0,1,10,0,0,10,0,0,0,0,68,127,11,0,0,0,0,0,4,0,180,0,0,0,0,0,0
Tooro,aIMGuhKI9Kc,Kyegegwa District,Ruyonza Subcounty,Karwenyi HC III,Baylor Fort Portal_Mubende Region,,L0gBY7kfAic,aIMGuhKI9Kc,Kyegegwa District,Ruyonza Subcounty,Karwenyi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,25,18,7,4,,11,2,2,,1,,,3,,,,,,2,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,2,2,0,1,0,0,3,0,0,0,0,0,2,9,0,0,9,0,0,0,0,0,26,25,0,0,0,0,9,3,0,0,0,0,0,0,5,0
North Central,aiyix4P4FmA,Mukono District,Seetanamuganga Subcounty,Namuganga HC III,WALTER REED_MUWRP,,tPJSluOKIQl,aiyix4P4FmA,Mukono District,Seetanamuganga Subcounty,Namuganga HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,18,9,9,2,,3,,2,,1,2,1,3,,4,,,,,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,1,2,1,3,0,4,0,0,0,0,10,0,0,10,0,0,0,0,2,50,18,0,0,0,0,0,42,0,0,0,0,0,0,0,0
Bukedi,aJgUSQQuIsM,Busia District,Buteba Subcounty,Buteba HC III,MJAP_East Central Region,,TR6A0ulAqA4,aJgUSQQuIsM,Busia District,Buteba Subcounty,Buteba HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,302,176,126,21,3,57,10,57,42,25,35,11,23,3,8,1,5,1,,302,0,295,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,57,10,56,41,24,33,11,22,3,8,1,5,1,0,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,255,16,3,193,43,0,0,0,1,530,302,0,0,0,4,76,86,0,22,11,36,27,16,1,0
South Central,ajiOvkBSZBh,Sembabule District,Mateete Town Council,Mateete HC III,IDI_Masaka Wakiso Region,,veRCgaPihDQ,ajiOvkBSZBh,Sembabule District,Mateete Town Council,Mateete HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,151,103,48,15,5,43,10,19,10,10,6,7,6,5,5,3,3,1,3,151,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,43,10,19,10,10,6,7,6,5,5,3,3,1,3,87,0,0,87,0,0,0,0,54,104,150,0,0,0,33,2,22,0,0,0,9,0,0,27,4
South Central,AjwnALSnLrK,Rakai District,Kyalulangira Subcounty,Kibaale HC II,IDI_Masaka Wakiso Region,,vNYauXtmw1A,AjwnALSnLrK,Rakai District,Kyalulangira Subcounty,Kibaale HC II,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,38,12,26,1,1,1,9,,4,4,4,2,3,2,2,1,2,1,1,38,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,1,9,0,3,4,4,1,2,0,2,1,2,1,1,27,0,0,27,0,0,0,0,1,62,38,0,0,0,4,0,3,0,0,0,3,0,0,11,0
North Central,akaiT2gUBst,Mukono District,Kisoga Town Council,Kojja HC IV,WALTER REED_MUWRP,,uKpiQUK7a8I,akaiT2gUBst,Mukono District,Kisoga Town Council,Kojja HC IV,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,73,38,35,2,2,9,10,6,7,8,3,5,2,5,4,1,3,2,4,73,0,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0,1,2,2,2,9,9,4,5,7,3,5,2,4,4,1,3,1,2,67,0,0,67,0,0,0,1,63,68,73,0,0,0,2,4,1,0,29,0,0,0,0,28,0
South Central,akLIpF5HNjE,Rakai District,Kagamba Subcounty,Kimuli HC III,IDI_Masaka Wakiso Region,,vXqYgG13cIo,akLIpF5HNjE,Rakai District,Kagamba Subcounty,Kimuli HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,77,43,34,6,,12,9,4,4,11,5,4,2,4,6,1,4,1,4,77,0,6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,5,0,10,8,4,4,10,5,3,2,4,6,1,4,1,4,17,0,0,16,0,1,0,0,34,72,72,0,0,0,0,2,0,0,20,0,15,0,0,6,20
Tooro,aKmOqqxiDuQ,Kasese District,Bugoye Subcounty,Bugoye HC III,Baylor Fort Portal_Mubende Region,,yN0TfFZlcUi,aKmOqqxiDuQ,Kasese District,Bugoye Subcounty,Bugoye HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,185,104,81,12,5,34,18,24,20,19,7,4,13,6,11,1,1,4,6,185,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,34,18,24,20,19,7,4,13,6,11,1,1,4,6,97,0,0,96,0,1,1,0,13,192,94,0,0,0,0,4,48,0,14,0,0,0,0,3,4
Kampala,aKmx8C5qUZ8,Kampala District,Makindye Division,Kisugu HC III,ROM_Kampala Region,,QG4V1hCxTbT,aKmx8C5qUZ8,Kampala District,Makindye Division,Kisugu HC III,ROM_Kampala Region,87040,CDC,Oct-Dec 2024,,,1080,815,265,27,10,186,77,322,73,170,49,86,23,18,16,4,13,2,4,1080,1,68,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,28,3,19,0,8,1,1,1,0,0,0,0,26,10,180,77,294,70,151,49,78,22,17,15,4,12,2,4,875,94,5,736,40,0,27,0,1106,21,1057,0,0,0,21,36,31,0,33,13,5,16,1,77,10
South Central,akpHXftD4yu,Wakiso District,Nansana Division,Nabweru HC III,IDI_Masaka Wakiso Region,,lQrQtSgvviN,akpHXftD4yu,Wakiso District,Nansana Division,Nabweru HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,646,431,215,18,5,81,66,179,67,101,42,37,17,11,11,4,4,,3,646,0,170,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,33,12,42,22,24,8,1,6,2,2,3,3,0,2,10,3,48,54,137,45,77,34,36,11,9,9,1,1,0,1,414,35,27,351,1,0,0,0,29,623,644,0,0,0,3,73,110,0,0,0,0,0,0,19,0
North Central,aKyrbNsmNnT,Luwero District,Nyimbwa Subcounty,Nyimbwa HC IV,WALTER REED_MUWRP,,ayeLxWlIh4R,aKyrbNsmNnT,Luwero District,Nyimbwa Subcounty,Nyimbwa HC IV,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,128,81,47,6,2,33,13,16,8,14,10,6,4,4,6,1,1,1,3,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,33,13,16,8,14,10,6,4,4,6,1,1,1,3,67,0,0,67,0,0,1,12,61,92,123,0,0,0,0,22,37,0,0,1,1,4,0,3,0
Ankole,aL6mherCqRW,Bushenyi District,Kyeizooba Subcounty,Kyeizooba HC III,TASO_Ankole Acholi Region,,lavfHECxp9J,aL6mherCqRW,Bushenyi District,Kyeizooba Subcounty,Kyeizooba HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,171,103,68,10,11,63,44,27,9,2,3,1,1,,,,,,,171,0,35,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,8,8,3,0,0,0,0,0,0,0,0,0,0,7,9,52,36,19,6,2,3,1,1,0,0,0,0,0,0,163,0,0,163,0,0,0,0,64,111,132,0,0,0,0,1,1,0,0,0,0,0,0,0,10
West Nile,aLKBDY8KNaI,Arua District,Arivu Subcounty,Bondo HC III,IDI_West Nile Region,,dpyqa4WjsxQ,aLKBDY8KNaI,Arua District,Arivu Subcounty,Bondo HC III,IDI_West Nile Region,84981,CDC,Oct-Dec 2024,,,90,51,39,10,5,17,7,11,11,9,3,1,8,2,3,,2,1,,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,17,7,11,11,9,3,1,8,2,3,0,2,1,0,21,0,0,21,0,0,0,0,2,92,89,0,0,0,0,11,0,0,0,1,31,0,0,2,22
North Central,aLmtlWu249T,Kayunga District,Busaana Town Council,Busana HC III,WALTER REED_MUWRP,,IPokKXfWyfU,aLmtlWu249T,Kayunga District,Busaana Town Council,Busana HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,176,120,56,25,2,56,7,12,19,12,6,10,4,2,5,,4,3,9,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,56,7,12,19,12,6,10,4,2,5,0,4,3,9,47,0,0,47,0,0,10,9,68,117,176,0,0,0,0,23,25,0,21,0,14,0,0,34,0
Bunyoro,aLPsQWPEMFT,Kakumiro District,Kakumiro Town Council,Kakumiro HC IV,Baylor_Hoima Region,,lnnMkUKP1aJ,aLPsQWPEMFT,Kakumiro District,Kakumiro Town Council,Kakumiro HC IV,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,194,154,40,54,9,76,13,14,6,7,4,2,1,1,3,,1,,3,194,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,76,13,14,6,7,4,2,1,1,3,0,1,0,3,142,0,0,142,0,0,0,0,12,188,186,0,0,0,0,9,36,0,0,0,0,0,0,12,0
North Central,alZgEM25r1K,Mubende District,Madudu Subcounty,St. Joseph Madudu HC III,UEC,,x4AOdmNmdEr,alZgEM25r1K,Mubende District,Madudu Subcounty,St. Joseph Madudu HC III,UEC,81974,CDC,Oct-Dec 2024,,,46,31,15,10,1,16,7,3,3,1,1,1,3,,,,,,,46,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,16,7,3,3,1,1,1,3,0,0,0,0,0,0,92,0,0,92,0,0,5,6,56,154,46,0,0,0,1,51,21,0,0,1,2,0,1,6,0
Kigezi,amaqHI7PUL2,Rukungiri District,Eastern Division,Rukungiri HC IV,JCRC_Kigezi Lango Region,,bTKoZOBnH06,amaqHI7PUL2,Rukungiri District,Eastern Division,Rukungiri HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,335,166,169,37,10,90,36,32,75,6,36,,8,,3,1,1,,,335,0,130,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,23,19,11,37,0,13,0,8,0,1,0,1,0,0,26,4,67,17,21,38,6,23,0,0,0,2,1,0,0,0,140,0,0,140,0,0,0,0,56,440,322,0,0,0,1,71,187,0,0,0,2,2,0,0,61
Lango,amDpMeSgs3P,Lira City,Lira West Division,Barapwo HC III,JCRC_Kigezi Lango Region,,Ofd9esspzrd,amDpMeSgs3P,Lira City,Lira West Division,Barapwo HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,43,17,26,,,8,1,7,12,2,11,,2,,,,,,,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,12,2,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,8,1,2,4,0,0
Lango,amnweRXxGSV,Amolatar District,Muntu Subcounty,Nakatiti HC II,JCRC_Kigezi Lango Region,,edPKqJCXevG,amnweRXxGSV,Amolatar District,Muntu Subcounty,Nakatiti HC II,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,54,27,27,7,5,10,8,2,5,3,2,4,2,1,3,,1,,1,54,0,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,0,1,0,0,0,0,1,0,1,5,4,9,7,2,3,2,2,3,2,1,3,0,0,0,0,26,0,0,26,0,0,0,0,0,54,54,0,0,0,0,0,0,0,27,0,0,0,0,0,1
North Central,an1CZjQ65h7,Buikwe District,Wakisi Division,Wakisi HC III,WALTER REED_MUWRP,,SIE1cz9SP5P,an1CZjQ65h7,Buikwe District,Wakisi Division,Wakisi HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,24,4,20,,,1,1,1,2,1,4,1,4,,2,,5,,2,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,1,4,0,2,0,5,0,2,15,0,0,15,0,0,0,1,18,34,24,0,0,0,0,0,5,0,2,0,22,2,0,5,0
South Central,aNt5WiVHx4G,Wakiso District,Ndejje Division,Ndejje HC IV,IDI_Masaka Wakiso Region,,zLGzeVFngQS,aNt5WiVHx4G,Wakiso District,Ndejje Division,Ndejje HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,738,352,386,37,22,96,102,131,124,55,74,27,48,6,13,,2,,1,738,0,2,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37,22,95,102,130,124,55,74,27,48,6,13,0,2,0,1,353,67,42,244,0,0,0,0,1,740,738,0,0,0,125,111,272,0,0,0,0,0,0,0,0
Tooro,aO5NU9dvqqT,Fort Portal City,Fort Portal Central Division,Kasusu HC III,Baylor Fort Portal_Mubende Region,,arf64pbd3P2,aO5NU9dvqqT,Fort Portal City,Fort Portal Central Division,Kasusu HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,23,10,13,1,1,6,4,2,3,,4,1,,,,,1,,,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,2,3,0,4,1,0,0,0,0,1,0,0,23,12,0,10,1,0,0,0,1,26,23,0,0,0,11,0,1,0,0,1,0,1,0,0,0
Busoga,ao6V9sOp2DA,Mayuge District,Malongo Subcounty,Malongo HC III,MJAP_East Central Region,,rjGIWDoBYpW,ao6V9sOp2DA,Mayuge District,Malongo Subcounty,Malongo HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,117,75,42,11,4,23,13,25,12,10,7,4,2,1,2,,1,1,1,117,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,23,13,25,12,10,7,4,2,1,2,0,1,1,1,58,0,0,58,0,0,0,0,2,159,109,0,0,0,0,8,9,0,64,1,11,2,0,0,8
